Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1724151243,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1724151244,1000,,Aggregated,0.000000,0.000000,770,790,800,800,810,820,840,840,870,870,870,218,0,770.0,709.7547681820088,558.827500033658,873.6503749969415,434.3807339449541
1724151245,2000,,Aggregated,0.000000,0.000000,650,790,810,1200,1300,1500,1700,1700,1900,1900,1900,548,0,650.0,784.6621987012633,131.98579201707616,1880.0044999807142,442.8029197080292
1724151246,3000,,Aggregated,0.000000,0.000000,790,1100,1200,1300,1600,2400,2600,2800,2900,2900,2900,943,0,790.0,986.5315064999214,77.7972909854725,2896.20058395667,409.50265111346766
1724151247,4000,,Aggregated,162.500000,0.000000,810,1200,1400,1600,2400,3200,3500,3700,3800,3800,3800,1371,0,810.0,1124.209793307292,60.664999997243285,3845.947875001002,382.910284463895
1724151248,5000,,Aggregated,210.666667,0.000000,800,1300,1600,1800,2700,3700,4400,4500,4800,4800,4800,1829,0,800.0,1215.7455264218838,55.376707983668894,4813.0328329862095,363.57353745215966
1724151249,6000,,Aggregated,284.000000,0.000000,790,1400,1800,2300,3400,4400,5400,5500,5800,5800,5800,2225,0,790.0,1358.2242851235296,55.376707983668894,5792.02258400619,352.2220224719101
1724151250,7000,,Aggregated,294.600000,0.000000,800,1400,2300,2700,4200,5300,6400,6500,6800,6800,6800,2504,0,800.0,1543.9886264723839,55.376707983668894,6840.996082988568,351.02316293929715
1724151251,8000,,Aggregated,294.600000,0.000000,810,1500,2400,3200,4400,5500,6700,7300,7300,7300,7300,2646,0,810.0,1654.4770234715966,55.376707983668894,7320.9807079983875,351.4508692365835
1724151252,9000,,Aggregated,317.857143,0.000000,810,1500,2400,3300,5200,6600,7500,7600,7900,7900,7900,3171,0,810.0,1787.9207129264753,55.376707983668894,7948.988542018924,345.70545569221065
1724151253,10000,,Aggregated,317.857143,0.000000,810,1500,2400,3300,5200,6700,7500,7600,8300,8300,8300,3212,0,810.0,1803.0624641768427,55.376707983668894,8319.062624999788,345.3620797011208
1724151254,11000,,Aggregated,309.333333,0.000000,990,1700,2900,3500,6200,7500,9100,9500,9600,9600,9600,3651,0,990.0,2067.30685914528,55.376707983668894,9636.015541967936,341.4941112024103
1724151255,12000,,Aggregated,321.200000,0.000000,1100,1600,2900,3600,6600,9000,10000,11000,11000,11000,11000,4336,0,1100.0,2189.5787818449976,55.376707983668894,10892.672707966994,331.02606088560884
1724151256,13000,,Aggregated,340.000000,0.000000,1100,1600,3200,3700,7000,9100,11000,11000,12000,12000,12000,4571,0,1100.0,2282.878200601858,55.376707983668894,11893.555708054919,327.37847298184204
1724151257,14000,,Aggregated,339.300000,0.000000,1100,1600,3300,4200,7500,10000,12000,13000,13000,13000,13000,5305,0,1100.0,2478.150169759346,55.376707983668894,12749.680207984056,318.3903864278982
1724151258,15000,,Aggregated,375.300000,0.000000,1200,1600,3300,4200,7500,10000,12000,13000,14000,14000,14000,5521,0,1200.0,2532.4094982929696,55.376707983668894,13768.685792048927,316.2988589023728
1724151259,15000,,Aggregated,356.900000,0.000000,1200,1700,3400,4200,9000,12000,13000,13000,14000,14000,14000,6298,0,1200.0,2684.3501789970355,55.376707983668894,13969.608167011756,311.00920927278503
1724151260,15000,,Aggregated,383.200000,0.000000,1200,1800,3400,4200,9000,12000,13000,14000,15000,15000,15000,7084,0,1200.0,2754.198056355281,55.376707983668894,14879.526457982138,300.9652738565782
1724151261,15000,,Aggregated,397.400000,0.000000,1200,1800,3500,4400,10000,13000,15000,15000,16000,16000,16000,7898,0,1200.0,2981.0345552656827,55.376707983668894,15884.492791024968,297.5697644973411
1724151262,15000,,Aggregated,428.700000,0.000000,1200,1800,3500,4400,12000,15000,15000,16000,17000,17000,17000,8815,0,1200.0,3185.2591348407163,55.376707983668894,16959.716457989998,292.3249007373795
1724151263,15000,,Aggregated,477.300000,0.000000,1300,1900,3800,5000,13000,15000,16000,17000,18000,18000,18000,9735,0,1300.0,3468.804649379012,55.376707983668894,17904.699874983635,288.9246019517206
1724151264,15000,,Aggregated,550.800000,0.000000,1300,1900,3800,5300,14000,16000,17000,17000,19000,19000,19000,10542,0,1300.0,3595.719803638215,55.376707983668894,18763.01166700432,285.4863403528742
1724151265,15000,,Aggregated,597.900000,0.000000,1300,2100,3900,5600,15000,16000,18000,18000,20000,20000,20000,11352,1,1300.0,3742.6381792959423,55.376707983668894,19715.240416990127,283.0235200845666
1724151266,15000,,Aggregated,662.900000,0.000000,1300,2200,4000,6400,15000,17000,18000,19000,20000,20000,20000,11825,1,1300.0,3860.5799812537166,55.376707983668894,20229.67025003163,281.7435095137421
1724151268,15000,,Aggregated,715.700000,0.100000,1400,2400,4000,6500,15000,17000,18000,19000,20000,22000,22000,12874,1,1400.0,4013.147311318659,55.376707983668894,21645.211957977153,279.04551809849306
1724151269,15000,,Aggregated,712.000000,0.100000,1400,2500,4100,7300,16000,18000,19000,20000,21000,22000,22000,13735,1,1400.0,4177.337431391959,55.376707983668894,22117.823584005237,276.6758645795413
1724151270,15000,,Aggregated,754.200000,0.100000,1400,2500,4000,7000,16000,18000,20000,20000,21000,22000,23000,14529,1,1400.0,4165.250798906634,55.376707983668894,22858.61262504477,274.2273384265951
1724151271,15000,,Aggregated,780.800000,0.100000,1400,2500,3800,6700,16000,18000,20000,20000,22000,23000,24000,15142,1,1400.0,4134.179329796134,55.376707983668894,24113.569832989015,271.94921410645884
1724151272,15000,,Aggregated,796.400000,0.100000,1400,2500,3700,6400,16000,18000,20000,20000,23000,25000,25000,15836,1,1400.0,4102.467262457108,55.376707983668894,25182.138584030326,269.4309168982066
1724151273,15000,,Aggregated,768.000000,0.100000,1400,2600,3600,5900,16000,18000,20000,20000,24000,26000,26000,16514,1,1400.0,4075.3350486702648,55.376707983668894,26436.842833005358,267.111602276856
1724151274,15000,,Aggregated,746.700000,0.100000,1400,2600,3600,5400,16000,18000,20000,21000,27000,27000,28000,17269,1,1400.0,4070.0393811706695,55.376707983668894,27510.65687497612,264.63252070183563
